len_title,len_abstract,num_authors,num_conflicts,num_tags,num_ivy_conflicts,num_big_four_conflicts,num_keywords_abstract,num_keywords_title,num_pages,num_sections,decision
4,118,2,1,3,0,0,1,0,14,11,Not Accept
4,93,2,1,2,0,0,1,0,15,10,Not Accept
6,134,4,2,3,0,0,0,0,19,8,Accept
7,242,3,6,1,0,0,0,0,11,8,Not Accept
9,138,3,2,2,0,0,0,0,19,4,Accept
8,135,1,2,4,0,0,2,0,13,6,Not Accept
9,173,2,4,2,0,0,0,0,12,7,Not Accept
13,135,2,1,1,0,0,1,0,12,6,Not Accept
5,257,2,1,1,0,1,1,0,11,4,Not Accept
8,160,6,2,2,1,0,1,0,14,6,Accept
6,161,3,2,1,0,0,0,0,13,8,Accept
8,206,3,7,3,1,0,2,0,15,10,Accept
9,144,5,2,4,0,0,0,0,11,7,Not Accept
2,124,2,2,1,0,0,1,0,14,4,Accept
13,130,2,1,2,0,0,0,0,16,11,Not Accept
6,218,4,2,1,0,0,1,0,17,4,Not Accept
17,153,4,2,2,0,0,2,0,9,8,Not Accept
5,305,3,1,3,0,0,1,1,10,6,Not Accept
10,127,2,2,1,0,0,0,0,10,4,Not Accept
9,142,3,1,3,0,0,1,0,10,7,Accept
4,139,3,3,1,0,0,1,0,12,5,Not Accept
9,121,2,1,1,0,0,0,0,18,14,Not Accept
8,119,2,2,1,0,1,1,0,15,9,Not Accept
6,191,2,1,1,0,1,2,0,16,8,Accept
7,135,2,1,1,0,0,0,0,11,8,Not Accept
3,124,5,1,2,0,0,1,0,14,9,Not Accept
11,61,2,1,2,0,0,1,0,10,6,Not Accept
5,103,2,1,1,0,0,1,0,9,9,Not Accept
6,160,5,4,1,0,0,2,1,15,14,Accept
6,62,7,3,2,0,1,1,0,20,17,Accept
7,158,4,2,2,0,0,2,0,12,9,Not Accept
8,155,4,2,1,0,0,0,0,11,10,Not Accept
7,138,2,4,1,1,0,1,0,11,9,Accept
15,167,4,5,2,0,0,1,0,14,9,Not Accept
11,156,2,2,1,0,0,0,0,9,4,Not Accept
5,172,5,2,1,0,0,0,0,11,7,Not Accept
7,224,2,1,2,0,0,3,0,18,7,Not Accept
12,133,3,2,2,0,0,2,0,13,10,Accept
10,139,3,2,1,0,0,2,0,12,4,Accept
11,130,6,3,2,0,0,1,0,13,4,Not Accept
3,122,3,2,1,0,0,0,0,18,11,Accept
4,166,1,2,1,0,0,2,1,12,8,Not Accept
10,181,5,3,1,0,0,3,0,15,8,Not Accept
6,251,3,2,2,0,0,2,0,17,14,Accept
7,192,3,1,2,0,0,1,0,12,8,Not Accept
2,124,3,5,2,0,0,0,0,13,16,Not Accept
7,207,2,3,3,0,0,2,0,12,7,Not Accept
10,163,4,2,3,0,0,0,0,10,8,Accept
11,85,1,1,3,0,0,1,0,10,11,Not Accept
13,85,4,4,2,0,0,2,0,13,12,Accept
5,158,6,2,3,0,0,0,0,14,12,Not Accept
12,134,3,2,3,0,0,1,0,11,9,Not Accept
11,72,3,2,2,0,0,1,0,13,9,Not Accept
8,211,4,2,3,0,0,3,0,9,6,Not Accept
7,102,5,2,1,0,0,1,0,16,10,Accept
15,115,2,1,3,0,0,2,0,13,9,Accept
11,162,5,3,2,0,0,0,0,16,13,Accept
8,177,5,3,2,0,0,1,0,13,7,Accept
9,273,3,3,3,0,0,2,0,20,14,Accept
9,183,4,1,3,0,0,0,0,17,10,Not Accept
8,214,5,2,2,0,0,0,0,14,11,Accept
3,88,1,2,1,0,0,0,0,6,4,Not Accept
6,110,5,3,2,0,0,0,0,9,11,Not Accept
7,189,3,1,1,0,1,1,0,17,11,Accept
7,154,5,1,2,0,0,1,0,30,11,Not Accept
7,173,2,1,2,0,0,2,0,15,11,Accept
9,109,2,2,2,0,0,1,0,13,10,Accept
4,91,3,2,1,0,0,0,0,10,4,Not Accept
3,146,6,3,1,0,0,2,0,18,4,Accept
5,107,5,3,1,0,0,0,0,17,14,Accept
6,172,8,3,4,0,0,3,0,17,11,Accept
5,93,3,2,2,0,0,2,0,32,14,Accept
